"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2016-10-19";581;18,29;0;0;581;12,26
"2016-10-20";400;30,89;0;0;400;20,7
"2016-10-21";271;39,42;0;0;271;26,42
"2016-10-22";184;45,21;2;0,13;186;30,35
"2016-10-23";223;52,24;0;0,13;223;35,06
"2016-10-24";197;58,44;185;11,97;382;43,12
"2016-10-25";111;61,93;172;22,98;283;49,09
"2016-10-26";93;64,86;254;39,24;347;56,42
"2016-10-27";58;66,69;156;49,23;214;60,93
"2016-10-28";182;72,42;115;56,59;297;67,2
"2016-10-29";91;75,28;0;56,59;91;69,12
"2016-10-30";108;78,68;0;56,59;108;71,4
"2016-10-31";76;81,08;133;65,11;209;75,81
"2016-11-01";64;83,09;0;65,11;64;77,16
"2016-11-02";41;84,38;22;66,52;63;78,49
"2016-11-03";87;87,12;92;72,41;179;82,27
"2016-11-04";51;88,73;52;75,74;103;84,44
"2016-11-05";25;89,52;0;75,74;25;84,97
"2016-11-06";33;90,55;0;75,74;33;85,67
"2016-11-07";39;91,78;63;79,77;102;87,82
"2016-11-08";19;92,38;12;80,54;31;88,48
"2016-11-09";21;93,04;43;83,29;64;89,83
"2016-11-10";19;93,64;29;85,15;48;90,84
"2016-11-11";18;94,21;28;86,94;46;91,81
"2016-11-12";12;94,58;0;86,94;12;92,06
"2016-11-13";13;94,99;0;86,94;13;92,34
"2016-11-14";16;95,5;32;88,99;48;93,35
"2016-11-15";12;95,88;10;89,63;22;93,82
"2016-11-16";9;96,16;20;90,91;29;94,43
"2016-11-17";8;96,41;19;92,13;27;95
"2016-11-18";7;96,63;11;92,83;18;95,38
"2016-11-19";9;96,91;0;92,83;9;95,57
"2016-11-20";9;97,2;0;92,83;9;95,76
"2016-11-21";5;97,36;17;93,92;22;96,22
"2016-11-22";10;97,67;2;94,05;12;96,48
"2016-11-23";9;97,95;17;95,13;26;97,02
"2016-11-24";6;98,14;9;95,71;15;97,34
"2016-11-25";2;98,21;7;96,16;9;97,53
"2016-11-26";2;98,27;0;96,16;2;97,57
"2016-11-27";6;98,46;0;96,16;6;97,7
"2016-11-28";13;98,87;15;97,12;28;98,29
"2016-11-29";7;99,09;1;97,18;8;98,46
"2016-11-30";5;99,24;5;97,5;10;98,67
"2016-12-01";3;99,34;3;97,7;6;98,8
"2016-12-02";3;99,43;11;98,4;14;99,09
"2016-12-04";4;99,56;0;98,4;4;99,18
"2016-12-05";5;99,72;9;98,98;14;99,47
"2016-12-06";3;99,81;0;98,98;3;99,54
"2016-12-07";1;99,84;4;99,23;5;99,64
"2016-12-08";1;99,87;4;99,49;5;99,75
"2016-12-09";0;99,87;2;99,62;2;99,79
"2016-12-10";1;99,91;0;99,62;1;99,81
"2016-12-12";2;99,97;4;99,87;6;99,94
"2016-12-13";1;100;2;100;3;100
