"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2016-12-14";594;18,91;0;0;594;12,79
"2016-12-15";446;33,1;0;0;446;22,39
"2016-12-16";236;40,61;27;1,8;263;28,06
"2016-12-17";123;44,53;0;1,8;123;30,71
"2016-12-18";197;50,8;0;1,8;197;34,95
"2016-12-19";141;55,28;385;27,43;526;46,27
"2016-12-20";103;58,56;90;33,42;193;50,43
"2016-12-21";85;61,27;191;46,14;276;56,37
"2016-12-22";193;67,41;125;54,46;318;63,22
"2016-12-23";90;70,27;62;58,59;152;66,49
"2016-12-24";44;71,67;0;58,59;44;67,44
"2016-12-25";44;73,07;0;58,59;44;68,39
"2016-12-26";65;75,14;0;58,59;65;69,79
"2016-12-27";73;77,47;98;65,11;171;73,47
"2016-12-28";52;79,12;25;66,78;77;75,13
"2016-12-29";38;80,33;41;69,51;79;76,83
"2016-12-30";29;81,25;0;69,51;29;77,45
"2016-12-31";24;82,02;0;69,51;24;77,97
"2017-01-01";24;82,78;0;69,51;24;78,49
"2017-01-02";41;84,09;93;75,7;134;81,37
"2017-01-03";37;85,26;10;76,36;47;82,39
"2017-01-04";34;86,35;31;78,43;65;83,79
"2017-01-05";27;87,21;31;80,49;58;85,03
"2017-01-06";19;87,81;0;80,49;19;85,44
"2017-01-07";21;88,48;0;80,49;21;85,9
"2017-01-08";29;89,4;0;80,49;29;86,52
"2017-01-09";70;91,63;65;84,82;135;89,43
"2017-01-10";43;93;11;85,55;54;90,59
"2017-01-11";31;93,98;37;88,02;68;92,05
"2017-01-12";25;94,78;30;90,01;55;93,24
"2017-01-13";18;95,35;10;90,68;28;93,84
"2017-01-14";5;95,51;0;90,68;5;93,95
"2017-01-15";9;95,8;0;90,68;9;94,14
"2017-01-16";6;95,99;25;92,34;31;94,81
"2017-01-17";11;96,34;1;92,41;12;95,07
"2017-01-18";10;96,66;13;93,28;23;95,56
"2017-01-19";12;97,04;14;94,21;26;96,12
"2017-01-20";9;97,33;9;94,81;18;96,51
"2017-01-21";5;97,49;0;94,81;5;96,62
"2017-01-22";8;97,74;0;94,81;8;96,79
"2017-01-23";10;98,06;12;95,61;22;97,27
"2017-01-24";9;98,35;3;95,81;12;97,52
"2017-01-25";5;98,5;13;96,67;18;97,91
"2017-01-26";3;98,6;7;97,14;10;98,13
"2017-01-27";1;98,63;4;97,4;5;98,23
"2017-01-28";1;98,66;0;97,4;1;98,26
"2017-01-29";3;98,76;0;97,4;3;98,32
"2017-01-30";5;98,92;0;97,4;5;98,43
"2017-01-31";11;99,27;12;98,2;23;98,92
"2017-02-01";6;99,46;8;98,74;14;99,22
"2017-02-02";2;99,52;8;99,27;10;99,44
"2017-02-03";1;99,55;3;99,47;4;99,53
"2017-02-04";1;99,59;0;99,47;1;99,55
"2017-02-05";1;99,62;0;99,47;1;99,57
"2017-02-06";5;99,78;2;99,6;7;99,72
"2017-02-07";2;99,84;0;99,6;2;99,76
"2017-02-08";1;99,87;1;99,67;2;99,81
"2017-02-09";1;99,9;2;99,8;3;99,87
"2017-02-10";1;99,94;0;99,8;1;99,89
"2017-02-12";1;99,97;0;99,8;1;99,91
"2017-02-13";1;100;3;100;4;100
