"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2017-04-19";473;15,72;0;0;473;10,62
"2017-04-20";436;30,21;0;0;436;20,42
"2017-04-21";244;38,32;0;0;244;25,9
"2017-04-22";196;44,83;0;0;196;30,3
"2017-04-23";204;51,61;0;0;204;34,88
"2017-04-24";164;57,06;215;14,9;379;43,4
"2017-04-25";116;60,92;107;22,31;223;48,41
"2017-04-26";92;63,97;233;38,46;325;55,71
"2017-04-27";205;70,79;125;47,12;330;63,12
"2017-04-28";88;73,71;112;54,89;200;67,61
"2017-04-29";73;76,14;0;54,89;73;69,25
"2017-04-30";57;78,03;0;54,89;57;70,53
"2017-05-01";76;80,56;0;54,89;76;72,24
"2017-05-02";62;82,62;62;59,18;124;75,02
"2017-05-03";43;84,05;91;65,49;134;78,03
"2017-05-04";89;87,01;76;70,76;165;81,74
"2017-05-05";40;88,33;56;74,64;96;83,89
"2017-05-06";25;89,17;2;74,77;27;84,5
"2017-05-07";41;90,53;0;74,77;41;85,42
"2017-05-08";35;91,69;74;79,9;109;87,87
"2017-05-09";23;92,46;15;80,94;38;88,72
"2017-05-10";10;92,79;30;83,02;40;89,62
"2017-05-11";16;93,32;21;84,48;37;90,45
"2017-05-12";13;93,75;12;85,31;25;91,02
"2017-05-13";9;94,05;0;85,31;9;91,22
"2017-05-14";17;94,62;0;85,31;17;91,6
"2017-05-15";9;94,92;29;87,32;38;92,45
"2017-05-16";15;95,41;8;87,87;23;92,97
"2017-05-17";13;95,85;12;88,7;25;93,53
"2017-05-18";6;96,05;11;89,47;17;93,91
"2017-05-19";4;96,18;15;90,51;19;94,34
"2017-05-20";7;96,41;0;90,51;7;94,5
"2017-05-21";5;96,58;0;90,51;5;94,61
"2017-05-22";10;96,91;11;91,27;21;95,08
"2017-05-23";9;97,21;21;92,72;30;95,75
"2017-05-24";8;97,47;6;93,14;14;96,07
"2017-05-25";3;97,57;0;93,14;3;96,14
"2017-05-26";7;97,81;16;94,25;23;96,65
"2017-05-27";8;98,07;0;94,25;8;96,83
"2017-05-28";7;98,31;0;94,25;7;96,99
"2017-05-29";11;98,67;16;95,36;27;97,6
"2017-05-30";5;98,84;5;95,7;10;97,82
"2017-05-31";10;99,17;16;96,81;26;98,41
"2017-06-01";3;99,27;7;97,3;10;98,63
"2017-06-02";1;99,3;4;97,57;5;98,74
"2017-06-03";7;99,53;0;97,57;7;98,9
"2017-06-04";4;99,67;0;97,57;4;98,99
"2017-06-05";1;99,7;0;97,57;1;99,01
"2017-06-06";1;99,73;10;98,27;11;99,26
"2017-06-07";2;99,8;3;98,48;5;99,37
"2017-06-08";1;99,83;7;98,96;8;99,55
"2017-06-09";1;99,87;7;99,45;8;99,73
"2017-06-10";1;99,9;0;99,45;1;99,75
"2017-06-11";1;99,93;0;99,45;1;99,78
"2017-06-12";0;99,93;6;99,86;6;99,91
"2017-06-13";2;100;2;100;4;100
