"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2017-06-14";451;15,49;0;0;451;10,34
"2017-06-15";421;29,96;0;0;421;19,99
"2017-06-16";246;38,41;0;0;246;25,62
"2017-06-17";135;43,04;0;0;135;28,72
"2017-06-18";183;49,33;1;0,07;184;32,94
"2017-06-19";170;55,17;352;24,31;522;44,9
"2017-06-20";120;59,29;98;31,06;218;49,9
"2017-06-21";78;61,97;163;42,29;241;55,42
"2017-06-22";175;67,98;118;50,41;293;62,14
"2017-06-23";113;71,87;77;55,72;190;66,49
"2017-06-24";75;74,44;0;55,72;75;68,21
"2017-06-25";93;77,64;0;55,72;93;70,34
"2017-06-26";72;80,11;100;62,6;172;74,28
"2017-06-27";65;82,34;20;63,98;85;76,23
"2017-06-28";34;83,51;70;68,8;104;78,62
"2017-06-29";98;86,88;40;71,56;138;81,78
"2017-06-30";40;88,25;1;71,63;41;82,72
"2017-07-01";30;89,28;0;71,63;30;83,41
"2017-07-02";41;90,69;0;71,63;41;84,35
"2017-07-03";28;91,65;81;77,2;109;86,84
"2017-07-04";24;92,48;7;77,69;31;87,55
"2017-07-05";14;92,96;54;81,4;68;89,11
"2017-07-06";11;93,34;26;83,2;37;89,96
"2017-07-07";10;93,68;12;84,02;22;90,47
"2017-07-08";5;93,85;0;84,02;5;90,58
"2017-07-09";18;94,47;0;84,02;18;90,99
"2017-07-10";13;94,92;36;86,5;49;92,12
"2017-07-11";7;95,16;10;87,19;17;92,51
"2017-07-12";17;95,74;15;88,22;32;93,24
"2017-07-13";10;96,08;13;89,12;23;93,77
"2017-07-14";8;96,36;8;89,67;16;94,13
"2017-07-15";8;96,63;1;89,74;9;94,34
"2017-07-16";8;96,91;0;89,74;8;94,52
"2017-07-17";8;97,18;22;91,25;30;95,21
"2017-07-18";6;97,39;9;91,87;15;95,55
"2017-07-19";3;97,49;10;92,56;13;95,85
"2017-07-20";6;97,7;6;92,98;12;96,13
"2017-07-21";3;97,8;8;93,53;11;96,38
"2017-07-22";2;97,87;0;93,53;2;96,42
"2017-07-23";7;98,11;0;93,53;7;96,58
"2017-07-24";1;98,14;15;94,56;16;96,95
"2017-07-25";6;98,35;3;94,77;9;97,16
"2017-07-26";0;98,35;9;95,39;9;97,36
"2017-07-27";6;98,56;9;96,01;15;97,71
"2017-07-28";6;98,76;11;96,76;17;98,1
"2017-07-29";2;98,83;0;96,76;2;98,14
"2017-07-30";9;99,14;0;96,76;9;98,35
"2017-07-31";8;99,42;11;97,52;19;98,79
"2017-08-01";5;99,59;6;97,93;11;99,04
"2017-08-02";2;99,66;5;98,28;7;99,2
"2017-08-03";0;99,66;5;98,62;5;99,31
"2017-08-04";1;99,69;4;98,9;5;99,43
"2017-08-07";1;99,73;2;99,04;3;99,5
"2017-08-08";1;99,76;0;99,04;1;99,52
"2017-08-09";2;99,83;6;99,45;8;99,7
"2017-08-10";1;99,86;2;99,59;3;99,77
"2017-08-11";2;99,93;0;99,59;2;99,82
"2017-08-13";2;100;0;99,59;2;99,86
"2017-08-14";0;100;2;99,72;2;99,91
"2017-08-15";0;100;1;99,79;1;99,93
"2017-08-16";0;100;3;100;3;100
