"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2017-08-16";391;13,38;0;0;391;9,01
"2017-08-17";421;27,78;0;0;421;18,71
"2017-08-18";200;34,62;33;2,33;233;24,08
"2017-08-19";145;39,58;0;2,33;145;27,43
"2017-08-20";197;46,32;0;2,33;197;31,97
"2017-08-21";137;51,01;351;27,12;488;43,21
"2017-08-22";112;54,84;52;30,79;164;46,99
"2017-08-23";107;58,5;80;36,44;187;51,3
"2017-08-24";98;61,85;221;52,05;319;58,65
"2017-08-25";52;63,63;90;58,4;142;61,93
"2017-08-26";50;65,34;0;58,4;50;63,08
"2017-08-27";81;68,11;0;58,4;81;64,95
"2017-08-28";62;70,24;95;65,11;157;68,56
"2017-08-29";30;71,26;19;66,45;49;69,69
"2017-08-30";41;72,67;50;69,99;91;71,79
"2017-08-31";107;76,33;38;72,67;145;75,13
"2017-09-01";91;79,44;33;75;124;77,99
"2017-09-02";37;80,7;0;75;37;78,84
"2017-09-03";60;82,76;0;75;60;80,23
"2017-09-04";57;84,71;55;78,88;112;82,81
"2017-09-05";35;85,9;13;79,8;48;83,91
"2017-09-06";32;87;37;82,42;69;85,5
"2017-09-07";55;88,88;26;84,25;81;87,37
"2017-09-08";46;90,46;28;86,23;74;89,08
"2017-09-09";19;91,11;0;86,23;19;89,51
"2017-09-10";37;92,37;0;86,23;37;90,37
"2017-09-11";21;93,09;14;87,22;35;91,17
"2017-09-12";43;94,56;15;88,28;58;92,51
"2017-09-13";32;95,66;18;89,55;50;93,66
"2017-09-14";11;96,03;14;90,54;25;94,24
"2017-09-15";8;96,31;11;91,31;19;94,68
"2017-09-16";5;96,48;0;91,31;5;94,79
"2017-09-17";11;96,85;0;91,31;11;95,04
"2017-09-18";13;97,3;23;92,94;36;95,87
"2017-09-19";14;97,78;5;93,29;19;96,31
"2017-09-20";4;97,91;16;94,42;20;96,77
"2017-09-21";7;98,15;13;95,34;20;97,23
"2017-09-22";5;98,32;2;95,48;7;97,4
"2017-09-23";1;98,36;0;95,48;1;97,42
"2017-09-24";4;98,49;0;95,48;4;97,51
"2017-09-25";4;98,63;12;96,33;16;97,88
"2017-09-26";3;98,73;1;96,4;4;97,97
"2017-09-27";2;98,8;12;97,25;14;98,29
"2017-09-28";0;98,8;7;97,74;7;98,46
"2017-09-29";4;98,94;4;98,02;8;98,64
"2017-09-30";9;99,25;0;98,02;9;98,85
"2017-10-01";5;99,42;0;98,02;5;98,96
"2017-10-02";3;99,52;12;98,87;15;99,31
"2017-10-03";2;99,59;0;98,87;2;99,35
"2017-10-04";2;99,66;1;98,94;3;99,42
"2017-10-05";2;99,73;3;99,15;5;99,54
"2017-10-06";0;99,73;2;99,29;2;99,59
"2017-10-08";1;99,76;0;99,29;1;99,61
"2017-10-09";1;99,79;5;99,65;6;99,75
"2017-10-10";2;99,86;0;99,65;2;99,79
"2017-10-11";0;99,86;3;99,86;3;99,86
"2017-10-12";1;99,9;1;99,93;2;99,91
"2017-10-14";1;99,93;0;99,93;1;99,93
"2017-10-15";1;99,97;0;99,93;1;99,95
"2017-10-16";1;100;1;100;2;100
