"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2017-10-18";585;20,17;0;0;585;13,65
"2017-10-19";493;37,17;0;0;493;25,16
"2017-10-20";223;44,86;166;11,99;389;34,24
"2017-10-21";179;51,03;0;11,99;179;38,41
"2017-10-22";205;58,1;0;11,99;205;43,2
"2017-10-23";141;62,97;220;27,87;361;51,62
"2017-10-24";98;66,34;75;33,29;173;55,66
"2017-10-25";67;68,66;184;46,57;251;61,52
"2017-10-26";138;73,41;119;55,16;257;67,51
"2017-10-27";115;77,38;68;60,07;183;71,79
"2017-10-28";59;79,41;0;60,07;59;73,16
"2017-10-29";72;81,9;0;60,07;72;74,84
"2017-10-30";40;83,28;90;66,57;130;77,88
"2017-10-31";38;84,59;0;66,57;38;78,76
"2017-11-01";49;86,28;0;66,57;49;79,91
"2017-11-02";38;87,59;32;68,88;70;81,54
"2017-11-03";61;89,69;68;73,79;129;84,55
"2017-11-04";27;90,62;1;73,86;28;85,2
"2017-11-05";46;92,21;0;73,86;46;86,28
"2017-11-06";19;92,86;56;77,91;75;88,03
"2017-11-07";20;93,55;71;83,03;91;90,15
"2017-11-08";18;94,17;32;85,34;50;91,32
"2017-11-09";6;94,38;19;86,71;25;91,9
"2017-11-10";9;94,69;21;88,23;30;92,6
"2017-11-11";13;95,14;0;88,23;13;92,91
"2017-11-12";12;95,55;1;88,3;13;93,21
"2017-11-13";7;95,79;10;89,03;17;93,61
"2017-11-14";17;96,38;18;90,32;35;94,42
"2017-11-15";7;96,62;18;91,62;25;95,01
"2017-11-16";7;96,86;8;92,2;15;95,36
"2017-11-17";4;97;13;93,14;17;95,75
"2017-11-18";7;97,24;0;93,14;7;95,92
"2017-11-19";6;97,45;0;93,14;6;96,06
"2017-11-20";4;97,59;0;93,14;4;96,15
"2017-11-21";4;97,72;6;93,57;10;96,38
"2017-11-22";6;97,93;9;94,22;15;96,73
"2017-11-23";12;98,34;23;95,88;35;97,55
"2017-11-24";4;98,48;3;96,1;7;97,71
"2017-11-25";5;98,66;7;96,61;12;97,99
"2017-11-26";6;98,86;2;96,75;8;98,18
"2017-11-27";7;99,1;13;97,69;20;98,65
"2017-11-28";3;99,21;2;97,83;5;98,76
"2017-11-29";5;99,38;5;98,19;10;99
"2017-11-30";6;99,59;3;98,41;9;99,21
"2017-12-01";0;99,59;4;98,7;4;99,3
"2017-12-02";2;99,66;0;98,7;2;99,35
"2017-12-04";1;99,69;4;98,99;5;99,46
"2017-12-05";1;99,72;1;99,06;2;99,51
"2017-12-06";0;99,72;3;99,28;3;99,58
"2017-12-07";1;99,76;2;99,42;3;99,65
"2017-12-08";3;99,86;2;99,57;5;99,77
"2017-12-09";1;99,9;0;99,57;1;99,79
"2017-12-11";1;99,93;5;99,93;6;99,93
"2017-12-12";2;100;1;100;3;100
