"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2017-12-13";486;16,99;0;0;486;11,52
"2017-12-14";500;34,46;0;0;500;23,38
"2017-12-15";200;41,45;19;1,4;219;28,57
"2017-12-16";153;46,8;0;1,4;153;32,2
"2017-12-17";175;52,92;0;1,4;175;36,34
"2017-12-18";148;58,09;330;25,72;478;47,68
"2017-12-19";91;61,27;87;32,13;178;51,9
"2017-12-20";71;63,75;142;42,59;213;56,95
"2017-12-21";165;69,52;140;52,91;305;64,18
"2017-12-22";102;73,09;39;55,78;141;67,52
"2017-12-23";59;75,15;0;55,78;59;68,92
"2017-12-24";31;76,23;0;55,78;31;69,65
"2017-12-25";32;77,35;0;55,78;32;70,41
"2017-12-26";36;78,61;0;55,78;36;71,27
"2017-12-27";62;80,78;148;66,69;210;76,24
"2017-12-28";43;82,28;14;67,72;57;77,6
"2017-12-29";25;83,15;45;71,04;70;79,26
"2017-12-30";21;83,89;0;71,04;21;79,75
"2017-12-31";9;84,2;0;71,04;9;79,97
"2018-01-01";18;84,83;0;71,04;18;80,39
"2018-01-02";35;86,05;53;74,94;88;82,48
"2018-01-03";23;86,86;10;75,68;33;83,26
"2018-01-04";22;87,63;61;80,18;83;85,23
"2018-01-05";6;87,84;22;81,8;28;85,89
"2018-01-06";11;88,22;0;81,8;11;86,15
"2018-01-07";19;88,89;0;81,8;19;86,61
"2018-01-08";12;89,3;26;83,71;38;87,51
"2018-01-09";76;91,96;24;85,48;100;89,88
"2018-01-10";30;93,01;20;86,96;50;91,06
"2018-01-11";22;93,78;23;88,65;45;92,13
"2018-01-12";10;94,13;15;89,76;25;92,72
"2018-01-13";7;94,37;0;89,76;7;92,89
"2018-01-14";16;94,93;0;89,76;16;93,27
"2018-01-15";13;95,39;21;91,3;34;94,07
"2018-01-16";10;95,74;3;91,53;13;94,38
"2018-01-17";9;96,05;9;92,19;18;94,81
"2018-01-18";10;96,4;15;93,29;25;95,4
"2018-01-19";10;96,75;6;93,74;16;95,78
"2018-01-20";7;96,99;0;93,74;7;95,95
"2018-01-21";5;97,17;0;93,74;5;96,06
"2018-01-22";5;97,34;13;94,69;18;96,49
"2018-01-23";5;97,52;4;94,99;9;96,7
"2018-01-24";5;97,69;12;95,87;17;97,11
"2018-01-25";5;97,87;2;96,02;7;97,27
"2018-01-26";7;98,11;7;96,54;14;97,61
"2018-01-27";5;98,29;0;96,54;5;97,72
"2018-01-28";7;98,53;0;96,54;7;97,89
"2018-01-29";5;98,71;10;97,27;15;98,25
"2018-01-30";6;98,92;1;97,35;7;98,41
"2018-01-31";9;99,23;7;97,86;16;98,79
"2018-02-01";3;99,34;8;98,45;11;99,05
"2018-02-02";2;99,41;5;98,82;7;99,22
"2018-02-03";1;99,44;0;98,82;1;99,24
"2018-02-04";2;99,51;0;98,82;2;99,29
"2018-02-05";6;99,72;5;99,19;11;99,55
"2018-02-06";2;99,79;1;99,26;3;99,62
"2018-02-07";0;99,79;2;99,41;2;99,67
"2018-02-08";1;99,83;0;99,41;1;99,69
"2018-02-09";2;99,9;4;99,71;6;99,83
"2018-02-11";2;99,97;0;99,71;2;99,88
"2018-02-12";1;100;2;99,85;3;99,95
"2018-02-13";0;100;2;100;2;100
