"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2018-04-18";595;21,66;0;0;595;14,72
"2018-04-19";390;35,86;0;0;390;24,37
"2018-04-20";175;42,23;21;1,62;196;29,22
"2018-04-21";107;46,12;0;1,62;107;31,87
"2018-04-22";179;52,64;0;1,62;179;36,29
"2018-04-23";161;58,5;369;30,12;530;49,41
"2018-04-24";127;63,12;72;35,68;199;54,33
"2018-04-25";82;66,11;125;45,33;207;59,45
"2018-04-26";194;73,17;95;52,66;289;66,6
"2018-04-27";81;76,12;63;57,53;144;70,16
"2018-04-28";40;77,58;0;57,53;40;71,15
"2018-04-29";69;80,09;0;57,53;69;72,86
"2018-04-30";38;81,47;102;65,41;140;76,32
"2018-05-01";59;83,62;0;65,41;59;77,78
"2018-05-02";34;84,86;25;67,34;59;79,24
"2018-05-03";84;87,91;69;72,66;153;83,03
"2018-05-04";33;89,12;51;76,6;84;85,11
"2018-05-05";23;89,95;0;76,6;23;85,68
"2018-05-06";26;90,9;0;76,6;26;86,32
"2018-05-07";21;91,66;68;81,85;89;88,52
"2018-05-08";21;92,43;6;82,32;27;89,19
"2018-05-09";17;93,05;21;83,94;38;90,13
"2018-05-10";17;93,67;0;83,94;17;90,55
"2018-05-11";8;93,96;25;85,87;33;91,37
"2018-05-12";6;94,18;0;85,87;6;91,51
"2018-05-13";16;94,76;0;85,87;16;91,91
"2018-05-14";7;95,01;36;88,65;43;92,97
"2018-05-15";14;95,52;12;89,58;26;93,62
"2018-05-16";8;95,81;1;89,65;9;93,84
"2018-05-17";6;96,03;30;91,97;36;94,73
"2018-05-18";6;96,25;11;92,82;17;95,15
"2018-05-19";1;96,29;0;92,82;1;95,18
"2018-05-20";3;96,4;0;92,82;3;95,25
"2018-05-21";6;96,61;0;92,82;6;95,4
"2018-05-22";12;97,05;20;94,36;32;96,19
"2018-05-23";6;97,27;4;94,67;10;96,44
"2018-05-24";2;97,34;10;95,44;12;96,73
"2018-05-25";5;97,52;5;95,83;10;96,98
"2018-05-26";6;97,74;0;95,83;6;97,13
"2018-05-27";6;97,96;0;95,83;6;97,28
"2018-05-28";10;98,33;10;96,6;20;97,77
"2018-05-29";7;98,58;3;96,83;10;98,02
"2018-05-30";5;98,76;13;97,84;18;98,47
"2018-05-31";9;99,09;0;97,84;9;98,69
"2018-06-01";3;99,2;4;98,15;7;98,86
"2018-06-02";2;99,27;0;98,15;2;98,91
"2018-06-03";6;99,49;0;98,15;6;99,06
"2018-06-04";5;99,67;10;98,92;15;99,43
"2018-06-05";5;99,85;0;98,92;5;99,55
"2018-06-07";4;100;11;99,77;15;99,93
"2018-06-08";0;100;2;99,92;2;99,98
"2018-06-11";0;100;1;100;1;100
