"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2018-06-13";668;24,65;0;0;668;16,67
"2018-06-14";300;35,72;0;0;300;24,16
"2018-06-15";183;42,47;33;2,55;216;29,56
"2018-06-16";117;46,79;0;2,55;117;32,48
"2018-06-17";195;53,99;1;2,62;196;37,37
"2018-06-18";151;59,56;350;29,63;501;49,88
"2018-06-19";105;63,43;61;34,34;166;54,02
"2018-06-20";71;66,05;165;47,07;236;59,91
"2018-06-21";170;72,32;103;55,02;273;66,72
"2018-06-22";88;75,57;46;58,56;134;70,07
"2018-06-23";65;77,97;0;58,56;65;71,69
"2018-06-24";79;80,89;0;58,56;79;73,66
"2018-06-25";59;83,06;86;65,2;145;77,28
"2018-06-26";36;84,39;22;66,9;58;78,73
"2018-06-27";23;85,24;60;71,53;83;80,8
"2018-06-28";72;87,9;39;74,54;111;83,57
"2018-06-29";36;89,23;23;76,31;59;85,05
"2018-06-30";20;89,96;0;76,31;20;85,55
"2018-07-01";37;91,33;1;76,39;38;86,5
"2018-07-02";19;92,03;35;79,09;54;87,84
"2018-07-03";19;92,73;10;79,86;29;88,57
"2018-07-04";12;93,17;25;81,79;37;89,49
"2018-07-05";12;93,62;18;83,18;30;90,24
"2018-07-06";11;94,02;15;84,34;26;90,89
"2018-07-07";4;94,17;0;84,34;4;90,99
"2018-07-08";9;94,5;0;84,34;9;91,21
"2018-07-09";15;95,06;24;86,19;39;92,19
"2018-07-10";10;95,42;6;86,65;16;92,59
"2018-07-11";10;95,79;18;88,04;28;93,29
"2018-07-12";8;96,09;9;88,73;17;93,71
"2018-07-13";6;96,31;5;89,12;11;93,98
"2018-07-14";4;96,46;0;89,12;4;94,08
"2018-07-15";8;96,75;0;89,12;8;94,28
"2018-07-16";7;97,01;21;90,74;28;94,98
"2018-07-17";2;97,08;8;91,36;10;95,23
"2018-07-18";9;97,42;12;92,28;21;95,76
"2018-07-19";4;97,56;11;93,13;15;96,13
"2018-07-20";1;97,6;6;93,6;7;96,31
"2018-07-21";6;97,82;1;93,67;7;96,48
"2018-07-22";5;98,01;0;93,67;5;96,61
"2018-07-23";3;98,12;11;94,52;14;96,95
"2018-07-24";1;98,15;3;94,75;4;97,05
"2018-07-25";3;98,27;15;95,91;18;97,5
"2018-07-26";2;98,34;5;96,3;7;97,68
"2018-07-27";2;98,41;5;96,68;7;97,85
"2018-07-28";4;98,56;0;96,68;4;97,95
"2018-07-29";8;98,86;0;96,68;8;98,15
"2018-07-30";4;99;12;97,61;16;98,55
"2018-07-31";10;99,37;4;97,92;14;98,9
"2018-08-01";3;99,48;7;98,46;10;99,15
"2018-08-02";3;99,59;5;98,84;8;99,35
"2018-08-03";1;99,63;1;98,92;2;99,4
"2018-08-06";2;99,7;2;99,07;4;99,5
"2018-08-08";3;99,82;5;99,46;8;99,7
"2018-08-09";0;99,82;3;99,69;3;99,78
"2018-08-10";2;99,89;0;99,69;2;99,83
"2018-08-11";1;99,93;0;99,69;1;99,85
"2018-08-12";1;99,96;0;99,69;1;99,88
"2018-08-13";1;100;3;99,92;4;99,98
"2018-08-20";0;100;1;100;1;100
