"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2018-08-15";474;17,45;0;0;474;11,84
"2018-08-16";397;32,06;0;0;397;21,76
"2018-08-17";254;41,41;0;0;254;28,11
"2018-08-18";114;45,6;0;0;114;30,96
"2018-08-19";182;52,3;0;0;182;35,51
"2018-08-20";134;57,23;210;16,34;344;44,1
"2018-08-21";88;60,47;81;22,65;169;48,33
"2018-08-22";96;64;171;35,95;267;55
"2018-08-23";139;69,12;111;44,59;250;61,24
"2018-08-24";101;72,84;84;51,13;185;65,87
"2018-08-25";65;75,23;0;51,13;65;67,49
"2018-08-26";77;78,06;0;51,13;77;69,42
"2018-08-27";53;80,01;101;58,99;154;73,26
"2018-08-28";56;82,08;28;61,17;84;75,36
"2018-08-29";40;83,55;83;67,63;123;78,44
"2018-08-30";33;84,76;50;71,52;83;80,51
"2018-08-31";25;85,68;35;74,24;60;82,01
"2018-09-01";15;86,23;0;74,24;15;82,38
"2018-09-02";30;87,34;0;74,24;30;83,13
"2018-09-03";52;89,25;38;77,2;90;85,38
"2018-09-04";43;90,84;10;77,98;53;86,71
"2018-09-05";23;91,68;27;80,08;50;87,96
"2018-09-06";21;92,45;25;82,02;46;89,11
"2018-09-07";14;92,97;12;82,96;26;89,76
"2018-09-08";9;93,3;0;82,96;9;89,98
"2018-09-09";10;93,67;0;82,96;10;90,23
"2018-09-10";15;94,22;31;85,37;46;91,38
"2018-09-11";11;94,63;5;85,76;16;91,78
"2018-09-12";13;95,1;14;86,85;27;92,45
"2018-09-13";12;95,55;21;88,48;33;93,28
"2018-09-14";13;96,03;0;88,48;13;93,6
"2018-09-15";6;96,25;0;88,48;6;93,75
"2018-09-16";11;96,65;0;88,48;11;94,03
"2018-09-17";12;97,09;33;91,05;45;95,15
"2018-09-18";3;97,2;9;91,75;12;95,45
"2018-09-19";5;97,39;6;92,22;11;95,73
"2018-09-20";2;97,46;9;92,92;11;96
"2018-09-21";2;97,53;6;93,39;8;96,2
"2018-09-22";1;97,57;0;93,39;1;96,23
"2018-09-23";4;97,72;0;93,39;4;96,33
"2018-09-24";7;97,98;7;93,93;14;96,68
"2018-09-25";4;98,12;5;94,32;9;96,9
"2018-09-26";4;98,27;6;94,79;10;97,15
"2018-09-27";8;98,56;10;95,56;18;97,6
"2018-09-28";5;98,75;10;96,34;15;97,98
"2018-09-29";4;98,9;0;96,34;4;98,08
"2018-09-30";6;99,12;0;96,34;6;98,23
"2018-10-01";6;99,34;7;96,89;13;98,55
"2018-10-02";1;99,37;6;97,35;7;98,73
"2018-10-03";2;99,45;0;97,35;2;98,78
"2018-10-04";2;99,52;7;97,9;9;99
"2018-10-05";3;99,63;8;98,52;11;99,28
"2018-10-06";1;99,67;0;98,52;1;99,3
"2018-10-08";1;99,71;9;99,22;10;99,55
"2018-10-09";1;99,74;0;99,22;1;99,58
"2018-10-10";0;99,74;2;99,38;2;99,63
"2018-10-11";2;99,82;5;99,77;7;99,8
"2018-10-12";2;99,89;1;99,84;3;99,88
"2018-10-14";3;100;0;99,84;3;99,95
"2018-10-15";0;100;2;100;2;100
