"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2018-10-06";22;0,75;0;0;22;0,56
"2018-10-07";29;1,73;0;0;29;1,3
"2018-10-08";16;2,27;0;0;16;1,71
"2018-10-09";9;2,58;0;0;9;1,94
"2018-10-10";9;2,89;0;0;9;2,17
"2018-10-11";6;3,09;0;0;6;2,32
"2018-10-12";7;3,33;0;0;7;2,5
"2018-10-13";11;3,7;0;0;11;2,78
"2018-10-14";10;4,04;0;0;10;3,04
"2018-10-15";3;4,14;0;0;3;3,12
"2018-10-16";8;4,41;0;0;8;3,32
"2018-10-17";274;13,71;0;0;274;10,32
"2018-10-18";369;26,24;0;0;369;19,74
"2018-10-19";169;31,98;1;0,1;170;24,08
"2018-10-20";206;38,97;0;0,1;206;29,34
"2018-10-21";287;48,71;0;0,1;287;36,67
"2018-10-22";213;55,94;0;0,1;213;42,11
"2018-10-23";148;60,96;5;0,62;153;46,02
"2018-10-24";113;64,8;188;20;301;53,7
"2018-10-25";77;67,41;113;31,65;190;58,55
"2018-10-26";55;69,28;99;41,86;154;62,49
"2018-10-27";55;71,15;0;41,86;55;63,89
"2018-10-28";82;73,93;0;41,86;82;65,99
"2018-10-29";151;79,06;115;53,71;266;72,78
"2018-10-30";98;82,38;21;55,88;119;75,82
"2018-10-31";49;84,05;87;64,85;136;79,29
"2018-11-01";53;85,85;0;64,85;53;80,64
"2018-11-02";36;87,07;0;64,85;36;81,56
"2018-11-03";14;87,54;0;64,85;14;81,92
"2018-11-04";32;88,63;64;71,44;96;84,37
"2018-11-05";81;91,38;13;72,78;94;86,77
"2018-11-06";37;92,63;43;77,22;80;88,82
"2018-11-07";20;93,31;42;81,55;62;90,4
"2018-11-08";26;94,2;28;84,43;54;91,78
"2018-11-09";10;94,53;15;85,98;25;92,42
"2018-11-10";11;94,91;0;85,98;11;92,7
"2018-11-11";18;95,52;0;85,98;18;93,16
"2018-11-12";12;95,93;28;88,87;40;94,18
"2018-11-13";5;96,1;6;89,48;11;94,46
"2018-11-14";6;96,3;12;90,72;18;94,92
"2018-11-15";11;96,67;13;92,06;24;95,53
"2018-11-16";4;96,81;7;92,78;11;95,81
"2018-11-17";4;96,95;0;92,78;4;95,91
"2018-11-18";6;97,15;0;92,78;6;96,07
"2018-11-19";8;97,42;11;93,92;19;96,55
"2018-11-20";7;97,66;0;93,92;7;96,73
"2018-11-21";8;97,93;7;94,64;15;97,11
"2018-11-22";8;98,2;7;95,36;15;97,5
"2018-11-23";2;98,27;7;96,08;9;97,73
"2018-11-24";3;98,37;0;96,08;3;97,8
"2018-11-25";4;98,51;0;96,08;4;97,91
"2018-11-26";11;98,88;6;96,7;17;98,34
"2018-11-27";5;99,05;2;96,91;7;98,52
"2018-11-28";2;99,12;6;97,53;8;98,72
"2018-11-29";4;99,25;4;97,94;8;98,93
"2018-11-30";8;99,52;2;98,14;10;99,18
"2018-12-01";2;99,59;0;98,14;2;99,23
"2018-12-02";4;99,73;0;98,14;4;99,34
"2018-12-03";0;99,73;5;98,66;5;99,46
"2018-12-04";2;99,8;1;98,76;3;99,54
"2018-12-05";1;99,83;4;99,18;5;99,67
"2018-12-06";0;99,83;1;99,28;1;99,69
"2018-12-07";3;99,93;2;99,48;5;99,82
"2018-12-09";1;99,97;0;99,48;1;99,85
"2018-12-10";0;99,97;4;99,9;4;99,95
"2018-12-11";1;100;1;100;2;100
