"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2019-02-12";1;0,04;0;0;1;0,03
"2019-02-13";644;23,11;0;0;644;16,87
"2019-02-14";426;38,37;0;0;426;28,01
"2019-02-15";213;46,01;19;1,84;232;34,08
"2019-02-16";143;51,13;0;1,84;143;37,82
"2019-02-17";161;56,9;0;1,84;161;42,04
"2019-02-18";131;61,59;266;27,62;397;52,42
"2019-02-19";93;64,92;71;34,5;164;56,71
"2019-02-20";77;67,68;143;48,35;220;62,46
"2019-02-21";190;74,49;70;55,14;260;69,26
"2019-02-22";74;77,14;63;61,24;137;72,85
"2019-02-23";61;79,33;0;61,24;61;74,44
"2019-02-24";65;81,66;0;61,24;65;76,14
"2019-02-25";57;83,7;37;64,83;94;78,6
"2019-02-26";40;85,13;44;69,09;84;80,8
"2019-02-27";33;86,31;32;72,19;65;82,5
"2019-02-28";78;89,11;28;74,9;106;85,27
"2019-03-01";29;90,15;20;76,84;49;86,56
"2019-03-02";20;90,86;0;76,84;20;87,08
"2019-03-03";27;91,83;0;76,84;27;87,78
"2019-03-04";28;92,83;19;78,68;47;89,01
"2019-03-05";20;93,55;20;80,62;40;90,06
"2019-03-06";15;94,09;16;82,17;31;90,87
"2019-03-07";13;94,55;17;83,82;30;91,66
"2019-03-08";10;94,91;9;84,69;19;92,15
"2019-03-09";4;95,06;0;84,69;4;92,26
"2019-03-10";13;95,52;0;84,69;13;92,6
"2019-03-11";7;95,77;24;87,02;31;93,41
"2019-03-12";12;96,2;5;87,5;17;93,85
"2019-03-13";8;96,49;15;88,95;23;94,45
"2019-03-14";10;96,85;9;89,83;19;94,95
"2019-03-15";5;97,03;10;90,79;15;95,34
"2019-03-16";2;97,1;0;90,79;2;95,4
"2019-03-17";7;97,35;0;90,79;7;95,58
"2019-03-18";7;97,6;18;92,54;25;96,23
"2019-03-19";7;97,85;3;92,83;10;96,49
"2019-03-20";5;98,03;11;93,9;16;96,91
"2019-03-21";5;98,21;5;94,38;10;97,17
"2019-03-22";3;98,32;6;94,96;9;97,41
"2019-03-23";2;98,39;0;94,96;2;97,46
"2019-03-24";3;98,5;0;94,96;3;97,54
"2019-03-25";5;98,67;7;95,64;12;97,86
"2019-03-26";3;98,78;5;96,12;8;98,06
"2019-03-27";2;98,85;8;96,9;10;98,33
"2019-03-28";5;99,03;9;97,77;14;98,69
"2019-03-29";3;99,14;0;97,77;3;98,77
"2019-03-30";1;99,18;0;97,77;1;98,8
"2019-03-31";6;99,39;0;97,77;6;98,95
"2019-04-01";4;99,53;10;98,74;14;99,32
"2019-04-02";2;99,61;3;99,03;5;99,45
"2019-04-03";4;99,75;3;99,32;7;99,63
"2019-04-04";1;99,79;2;99,52;3;99,71
"2019-04-05";2;99,86;2;99,71;4;99,82
"2019-04-08";1;99,89;0;99,71;1;99,84
"2019-04-10";1;99,93;1;99,81;2;99,9
"2019-04-11";0;99,93;1;99,9;1;99,92
"2019-04-12";0;99,93;1;100;1;99,95
"2019-04-14";1;99,96;0;100;1;99,97
"2019-04-16";1;100;0;100;1;100
