"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2019-04-17";482;17,35;0;0;482;12,69
"2019-04-18";312;28,58;0;0;312;20,91
"2019-04-19";201;35,82;0;0;201;26,2
"2019-04-20";109;39,74;0;0;109;29,08
"2019-04-21";119;44,02;0;0;119;32,21
"2019-04-22";159;49,75;1;0,1;160;36,42
"2019-04-23";160;55,51;148;14,62;308;44,54
"2019-04-24";122;59,9;94;23,85;216;50,22
"2019-04-25";218;67,75;173;40,82;391;60,52
"2019-04-26";137;72,68;90;49,66;227;66,5
"2019-04-27";74;75,34;0;49,66;74;68,45
"2019-04-28";85;78,4;0;49,66;85;70,69
"2019-04-29";72;80,99;101;59,57;173;75,24
"2019-04-30";35;82,25;19;61,43;54;76,67
"2019-05-01";40;83,69;0;61,43;40;77,72
"2019-05-02";90;86,93;66;67,91;156;81,83
"2019-05-03";48;88,66;38;71,64;86;84,09
"2019-05-04";34;89,88;0;71,64;34;84,99
"2019-05-05";38;91,25;0;71,64;38;85,99
"2019-05-06";28;92,26;54;76,94;82;88,15
"2019-05-07";24;93,12;12;78,12;36;89,1
"2019-05-08";11;93,52;26;80,67;37;90,07
"2019-05-09";15;94,06;22;82,83;37;91,05
"2019-05-10";9;94,38;22;84,99;31;91,86
"2019-05-11";9;94,71;0;84,99;9;92,1
"2019-05-12";13;95,18;0;84,99;13;92,44
"2019-05-13";9;95,5;27;87,63;36;93,39
"2019-05-14";12;95,93;6;88,22;18;93,86
"2019-05-15";10;96,29;7;88,91;17;94,31
"2019-05-16";3;96,4;10;89,89;13;94,65
"2019-05-17";5;96,58;13;91,17;18;95,13
"2019-05-18";4;96,72;0;91,17;4;95,23
"2019-05-19";6;96,94;0;91,17;6;95,39
"2019-05-20";8;97,23;15;92,64;23;96
"2019-05-21";10;97,59;0;92,64;10;96,26
"2019-05-22";5;97,77;9;93,52;14;96,63
"2019-05-23";2;97,84;4;93,92;6;96,79
"2019-05-24";2;97,91;5;94,41;7;96,97
"2019-05-25";1;97,95;0;94,41;1;97
"2019-05-26";1;97,98;5;94,9;6;97,16
"2019-05-27";14;98,49;8;95,68;22;97,74
"2019-05-28";3;98,6;8;96,47;11;98,02
"2019-05-29";5;98,78;3;96,76;8;98,24
"2019-05-30";6;98,99;0;96,76;6;98,39
"2019-05-31";8;99,28;0;96,76;8;98,6
"2019-06-01";5;99,46;0;96,76;5;98,74
"2019-06-02";3;99,57;0;96,76;3;98,81
"2019-06-03";1;99,6;17;98,43;18;99,29
"2019-06-04";2;99,68;3;98,72;5;99,42
"2019-06-05";1;99,71;3;99,02;4;99,53
"2019-06-06";4;99,86;4;99,41;8;99,74
"2019-06-07";1;99,89;3;99,71;4;99,84
"2019-06-09";2;99,96;0;99,71;2;99,89
"2019-06-10";1;100;0;99,71;1;99,92
"2019-06-11";0;100;3;100;3;100
