"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2019-06-12";434;15,96;0;0;434;11,66
"2019-06-13";426;31,62;0;0;426;23,11
"2019-06-14";216;39,56;0;0;216;28,92
"2019-06-15";151;45,11;0;0;151;32,98
"2019-06-16";214;52,98;0;0;214;38,73
"2019-06-17";148;58,42;136;13,59;284;46,36
"2019-06-18";98;62,02;76;21,18;174;51,03
"2019-06-19";66;64,45;154;36,56;220;56,95
"2019-06-20";82;67,46;0;36,56;82;59,15
"2019-06-21";128;72,17;98;46,35;226;65,22
"2019-06-22";76;74,96;0;46,35;76;67,27
"2019-06-23";97;78,53;0;46,35;97;69,87
"2019-06-24";84;81,62;115;57,84;199;75,22
"2019-06-25";52;83,53;23;60,14;75;77,24
"2019-06-26";43;85,11;54;65,53;97;79,84
"2019-06-27";67;87,57;30;68,53;97;82,45
"2019-06-28";25;88,49;15;70,03;40;83,53
"2019-06-29";16;89,08;0;70,03;16;83,96
"2019-06-30";39;90,51;0;70,03;39;85
"2019-07-01";33;91,73;49;74,93;82;87,21
"2019-07-02";24;92,61;9;75,82;33;88,09
"2019-07-03";19;93,31;23;78,12;42;89,22
"2019-07-04";7;93,57;24;80,52;31;90,06
"2019-07-05";5;93,75;17;82,22;22;90,65
"2019-07-06";8;94,04;0;82,22;8;90,86
"2019-07-07";12;94,49;0;82,22;12;91,19
"2019-07-08";14;95;27;84,92;41;92,29
"2019-07-09";8;95,29;3;85,21;11;92,58
"2019-07-10";9;95,62;20;87,21;29;93,36
"2019-07-11";10;95,99;14;88,61;24;94,01
"2019-07-12";5;96,18;13;89,91;18;94,49
"2019-07-13";7;96,43;0;89,91;7;94,68
"2019-07-14";8;96,73;0;89,91;8;94,89
"2019-07-15";8;97,02;19;91,81;27;95,62
"2019-07-16";5;97,21;4;92,21;9;95,86
"2019-07-17";11;97,61;7;92,91;18;96,35
"2019-07-18";5;97,79;6;93,51;11;96,64
"2019-07-19";6;98,01;8;94,31;14;97,02
"2019-07-20";1;98,05;0;94,31;1;97,04
"2019-07-21";2;98,12;0;94,31;2;97,1
"2019-07-22";4;98,27;3;94,61;7;97,29
"2019-07-23";4;98,42;1;94,71;5;97,42
"2019-07-24";4;98,57;9;95,6;13;97,77
"2019-07-25";6;98,79;4;96;10;98,04
"2019-07-26";3;98,9;1;96,1;4;98,15
"2019-07-27";1;98,93;0;96,1;1;98,17
"2019-07-28";6;99,15;0;96,1;6;98,33
"2019-07-29";2;99,23;12;97,3;14;98,71
"2019-07-30";5;99,41;1;97,4;6;98,87
"2019-07-31";4;99,56;7;98,1;11;99,17
"2019-08-01";3;99,67;3;98,4;6;99,33
"2019-08-02";0;99,67;6;99;6;99,49
"2019-08-05";1;99,71;6;99,6;7;99,68
"2019-08-06";1;99,74;0;99,6;1;99,7
"2019-08-07";1;99,78;4;100;5;99,84
"2019-08-08";2;99,85;0;100;2;99,89
"2019-08-10";2;99,93;0;100;2;99,95
"2019-08-11";1;99,96;0;100;1;99,97
"2019-08-12";1;100;0;100;1;100
