"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2019-08-14";596;22,12;0;0;596;16,17
"2019-08-15";379;36,19;0;0;379;26,46
"2019-08-16";186;43,1;2;0,2;188;31,56
"2019-08-17";129;47,88;0;0,2;129;35,06
"2019-08-18";173;54,31;1;0,3;174;39,78
"2019-08-19";134;59,28;273;27,85;407;50,83
"2019-08-20";89;62,58;57;33,6;146;54,79
"2019-08-21";80;65,55;109;44,6;189;59,92
"2019-08-22";157;71,38;96;54,29;253;66,78
"2019-08-23";87;74,61;58;60,14;145;70,72
"2019-08-24";50;76,47;1;60,24;51;72,1
"2019-08-25";66;78,92;0;60,24;66;73,89
"2019-08-26";49;80,73;0;60,24;49;75,22
"2019-08-27";45;82,41;85;68,82;130;78,75
"2019-08-28";36;83,74;34;72,25;70;80,65
"2019-08-29";83;86,82;19;74,17;102;83,42
"2019-08-30";23;87,68;10;75,18;33;84,31
"2019-08-31";23;88,53;0;75,18;23;84,94
"2019-09-01";34;89,79;0;75,18;34;85,86
"2019-09-02";23;90,65;47;79,92;70;87,76
"2019-09-03";21;91,43;11;81,03;32;88,63
"2019-09-04";22;92,24;22;83,25;44;89,82
"2019-09-05";12;92,69;20;85,27;32;90,69
"2019-09-06";10;93,06;19;87,18;29;91,48
"2019-09-07";4;93,21;0;87,18;4;91,59
"2019-09-08";14;93,73;0;87,18;14;91,97
"2019-09-09";17;94,36;0;87,18;17;92,43
"2019-09-10";7;94,62;24;89,61;31;93,27
"2019-09-11";19;95,32;10;90,62;29;94,06
"2019-09-12";4;95,47;5;91,12;9;94,3
"2019-09-13";7;95,73;9;92,03;16;94,74
"2019-09-14";2;95,81;0;92,03;2;94,79
"2019-09-15";9;96,14;0;92,03;9;95,03
"2019-09-16";13;96,62;18;93,84;31;95,88
"2019-09-17";9;96,96;3;94,15;12;96,2
"2019-09-18";4;97,1;8;94,95;12;96,53
"2019-09-19";4;97,25;9;95,86;13;96,88
"2019-09-20";6;97,48;7;96,57;13;97,23
"2019-09-22";6;97,7;0;96,57;6;97,39
"2019-09-23";5;97,88;3;96,87;8;97,61
"2019-09-24";6;98,11;2;97,07;8;97,83
"2019-09-25";3;98,22;2;97,28;5;97,96
"2019-09-26";5;98,4;3;97,58;8;98,18
"2019-09-27";5;98,59;4;97,98;9;98,43
"2019-09-28";4;98,74;1;98,08;5;98,56
"2019-09-29";6;98,96;0;98,08;6;98,72
"2019-09-30";10;99,33;5;98,59;15;99,13
"2019-10-01";3;99,44;2;98,79;5;99,27
"2019-10-02";3;99,55;1;98,89;4;99,38
"2019-10-03";3;99,67;0;98,89;3;99,46
"2019-10-04";1;99,7;1;98,99;2;99,51
"2019-10-05";1;99,74;0;98,99;1;99,54
"2019-10-06";2;99,81;0;98,99;2;99,59
"2019-10-07";0;99,81;2;99,19;2;99,65
"2019-10-08";0;99,81;2;99,39;2;99,7
"2019-10-09";1;99,85;3;99,7;4;99,81
"2019-10-10";0;99,85;2;99,9;2;99,86
"2019-10-11";1;99,89;1;100;2;99,92
"2019-10-12";1;99,93;0;100;1;99,95
"2019-10-13";1;99,96;0;100;1;99,97
"2019-10-15";1;100;0;100;1;100
