"Date";"Online_No.";"Online_Percent";"Offline_No.";"Offline_Percent";"Total_No.";"Total_Percent"
"2019-10-16";353;13,1;0;0;353;9,59
"2019-10-17";438;29,35;0;0;438;21,49
"2019-10-18";275;39,55;0;0;275;28,97
"2019-10-19";175;46,05;0;0;175;33,72
"2019-10-20";195;53,28;0;0;195;39,02
"2019-10-21";150;58,85;153;15,53;303;47,26
"2019-10-22";128;63,6;66;22,23;194;52,53
"2019-10-23";82;66,64;148;37,26;230;58,78
"2019-10-24";170;72,95;82;45,58;252;65,62
"2019-10-25";83;76,03;64;52,08;147;69,62
"2019-10-26";50;77,88;0;52,08;50;70,98
"2019-10-27";84;81;1;52,18;85;73,29
"2019-10-28";50;82,86;92;61,52;142;77,15
"2019-10-29";38;84,27;24;63,96;62;78,83
"2019-10-30";29;85,34;62;70,25;91;81,3
"2019-10-31";53;87,31;27;72,99;80;83,48
"2019-11-01";46;89,02;0;72,99;46;84,73
"2019-11-02";26;89,98;0;72,99;26;85,43
"2019-11-03";31;91,13;0;72,99;31;86,28
"2019-11-04";34;92,39;57;78,78;91;88,75
"2019-11-05";15;92,95;9;79,7;24;89,4
"2019-11-06";11;93,36;18;81,52;29;90,19
"2019-11-07";14;93,88;17;83,25;31;91,03
"2019-11-08";12;94,32;16;84,87;28;91,79
"2019-11-09";6;94,55;0;84,87;6;91,96
"2019-11-10";13;95,03;0;84,87;13;92,31
"2019-11-11";14;95,55;8;85,69;22;92,91
"2019-11-12";15;96,1;20;87,72;35;93,86
"2019-11-13";6;96,33;17;89,44;23;94,48
"2019-11-14";8;96,62;6;90,05;14;94,86
"2019-11-15";6;96,85;11;91,17;17;95,33
"2019-11-16";3;96,96;0;91,17;3;95,41
"2019-11-17";8;97,25;0;91,17;8;95,62
"2019-11-18";7;97,51;15;92,69;22;96,22
"2019-11-19";6;97,74;4;93,1;10;96,49
"2019-11-20";1;97,77;6;93,71;7;96,68
"2019-11-21";2;97,85;9;94,62;11;96,98
"2019-11-22";1;97,88;5;95,13;6;97,15
"2019-11-23";2;97,96;0;95,13;2;97,2
"2019-11-24";5;98,14;1;95,23;6;97,36
"2019-11-25";8;98,44;4;95,63;12;97,69
"2019-11-26";4;98,59;7;96,35;11;97,99
"2019-11-27";6;98,81;6;96,95;12;98,32
"2019-11-28";5;99;6;97,56;11;98,61
"2019-11-29";4;99,15;2;97,77;6;98,78
"2019-11-30";4;99,29;0;97,77;4;98,89
"2019-12-01";3;99,41;0;97,77;3;98,97
"2019-12-02";3;99,52;5;98,27;8;99,18
"2019-12-03";2;99,59;2;98,48;4;99,29
"2019-12-04";4;99,74;1;98,58;5;99,43
"2019-12-05";1;99,78;1;98,68;2;99,48
"2019-12-06";0;99,78;4;99,09;4;99,59
"2019-12-07";2;99,85;0;99,09;2;99,65
"2019-12-08";1;99,89;0;99,09;1;99,67
"2019-12-09";2;99,96;9;100;11;99,97
"2019-12-10";1;100;0;100;1;100
